Luni,IdLuna,Ani,Index,Valoare,Delta,FFT freq,FFT mag,FFT Complex
mai,5,1995,41,10.3,-0.2,0.121212121,0.039091644,-6.400616419060963+0.7976049424320921i
iunie,6,1995,42,9.9,-0.4,0.124242424,0.057792089,2.559308353117557+9.185826765889981i
iulie,7,1995,43,9.7,-0.2,0.127272727,0.044726033,6.784617045350419-2.903507052071341i
August,8,1995,44,9.5,-0.2,0.13030303,0.009245761,-0.1463867171942444+1.5185109584085i
septembrie,9,1995,45,9.2,-0.3,0.133333333,0.044835234,6.11406723003842+4.164832418003327i
octombrie,10,1995,46,9,-0.2,0.136363636,0.032759746,1.6937888024194725-5.13312534036643i
noiembrie,11,1995,47,8.8,-0.2,0.139393939,0.042139,-6.675055415268567+1.9460061151079509i
decembrie,12,1995,48,9.5,0.7,0.142424242,0.049380673,7.2451044195418834+3.7276383586574284i
ianuarie,1,1996,49,9.9,0.4,0.145454546,0.028413258,2.0645577823448917-4.209121508351634i
februarie,2,1996,50,10.1,0.2,0.148484849,0.039596842,1.2841489414717606+6.406036815374037i
martie,3,1996,51,9.8,-0.3,0.151515152,0.048408906,7.71218547554732-2.078909217588643i
aprilie,4,1996,52,8.8,-1,0.154545455,0.030697607,-3.1589038137711625-3.959370683968497i
mai,5,1996,53,8.2,-0.6,0.157575758,0.03641661,2.1742423177592887+5.601574328733044i
iunie,6,1996,54,7.6,-0.6,0.160606061,0.057118401,6.898860630494013-6.420872624994375i
iulie,7,1996,55,7,-0.6,0.163636364,0.042529442,-6.936560097736376-1.0618132437564425i
August,8,1996,56,6.6,-0.4,0.166666667,0.140668743,10.999999999999986+20.43819952931275i
septembrie,9,1996,57,6.3,-0.3,0.16969697,0.041085572,3.929699419539415-5.523940811481545i
octombrie,10,1996,58,6.3,0,0.172727273,0.036125506,-2.8784451987978397-5.219635968746422i
noiembrie,11,1996,59,6.1,-0.2,0.175757576,0.040506108,6.682329369260662-0.12550128368151237i
decembrie,12,1996,60,6.6,0.5,0.178787879,0.032180082,-3.478005575626893-4.0120486876547625i
ianuarie,1,1997,61,7,0.4,0.181818182,0.023113119,-2.494357687861721+2.8848253624837934i
februarie,2,1997,62,7.5,0.5,0.184848485,0.035052936,5.747064379374217-0.6502584101530071i
martie,3,1997,63,7.5,0,0.187878788,0.027672957,-3.750309808295244-2.6045879697933025i
aprilie,4,1997,64,7.3,-0.2,0.190909091,0.030891032,2.1929654549244257+4.60114315127602i
mai,5,1997,65,7.1,-0.2,0.193939394,0.05623669,3.7943110006446448-8.467824149369315i
iunie,6,1997,66,7.3,0.2,0.196969697,0.041636907,-6.435804499217259-2.4038618636319757i
iulie,7,1997,67,7.2,-0.1,0.2,0.025775213,2.758610463437157+3.236867770347614i
August,8,1997,68,7.1,-0.1,0.203030303,0.034271456,2.3625852563395187-5.137591253234715i
septembrie,9,1997,69,7.2,0.1,0.206060606,0.037186547,-5.5703895135759804+2.5726563647113427i
octombrie,10,1997,70,7.6,0.4,0.209090909,0.011753673,0.7295258587735749+1.7969123604075712i
noiembrie,11,1997,71,8.1,0.5,0.212121212,0.008165476,-0.16267170795040375-1.337447075424588i
decembrie,12,1997,72,8.9,0.8,0.215151515,0.024344602,-1.2748438012044565+3.809190555181157i
ianuarie,1,1998,73,9.3,0.4,0.218181818,0.034529842,5.659291994095674+0.6580685979879091i
februarie,2,1998,74,9.7,0.4,0.221212121,0.026800647,-1.7378702519446076-4.066304915856472i
martie,3,1998,75,9.6,-0.1,0.224242424,0.028900426,-2.01012139684794+4.324196425082555i
aprilie,4,1998,76,9.4,-0.2,0.227272727,0.025900816,3.913695299041189-1.7166658458187753i
mai,5,1998,77,9.2,-0.2,0.23030303,0.011369964,-1.8283518457062364-0.42032248895099883i
iunie,6,1998,78,8.9,-0.3,0.233333333,0.045417493,3.2430781080021056+6.755795808140773i
iulie,7,1998,79,8.8,-0.1,0.236363636,0.037166976,1.9113820038379616-5.827074759303661i
August,8,1998,80,8.7,-0.1,0.239393939,0.022834054,-3.7266823452795923-0.5538876019499932i
septembrie,9,1998,81,8.7,0,0.242424242,0.03007387,4.921396844875379+0.6349547798230208i
octombrie,10,1998,82,9,0.3,0.245454546,0.017393374,0.11767513033161736-2.8674931337614757i
noiembrie,11,1998,83,9.5,0.5,0.248484849,0.058670519,-1.4460489202104991+9.57202420127428i
decembrie,12,1998,84,10.4,0.9,0.251515152,0.027316345,4.25285644150996-1.492660776396682i
ianuarie,1,1999,85,11.2,0.8,0.254545455,0.032988944,-1.2938426359691573-5.287166882274568i
februarie,2,1999,86,12,0.8,0.257575758,0.013075802,2.148693262372931+0.19482139172110036i
martie,3,1999,87,12,0,0.260606061,0.023381745,3.6396650304222624-1.2794173578499706i
aprilie,4,1999,88,11.7,-0.3,0.263636364,0.015467032,-2.179245237526464-1.3281196035643226i
mai,5,1999,89,11.5,-0.2,0.266666667,0.001511072,0.24442624125960435+0.04919075739696541i
iunie,6,1999,90,11.4,-0.1,0.26969697,0.025874022,1.1321315409176167-4.1163653386457595i
iulie,7,1999,91,11.3,-0.1,0.272727273,0.00644643,-0.740096936209685-0.7639575944336704i
August,8,1999,92,10.9,-0.4,0.275757576,0.018085127,1.8784868671141153+2.318580928342907i
septembrie,9,1999,93,10.9,0,0.278787879,0.026492447,-1.868186253887492-3.951928601052754i
octombrie,10,1999,94,10.8,-0.1,0.281818182,0.011363595,-1.4937095141136825+1.1333274689228505i
noiembrie,11,1999,95,11.1,0.3,0.284848485,0.022803733,3.7500310516607103+0.30748409980714264i
decembrie,12,1999,96,11.8,0.7,0.287878788,0.022446618,-0.642189630896651-3.6475919378422024i
ianuarie,1,2000,97,12.3,0.5,0.290909091,0.024532678,-1.354852908359584+3.8144203266872014i
februarie,2,2000,98,12.5,0.2,0.293939394,0.001942311,-0.2999393653312386-0.11289201507479836i
martie,3,2000,99,12.2,-0.3,0.296969697,0.015369597,-1.4063826419736525-2.1102843869649814i
aprilie,4,2000,100,11.9,-0.3,0.3,0.014929027,1.6718847050625383+1.8090318223302948i
mai,5,2000,101,11.5,-0.4,0.303030303,0.011120829,1.8276733206152456-0.16310471035956842i
iunie,6,2000,102,11.2,-0.3,0.306060606,0.021736472,-0.24154866329462354+3.578374520505726i
iulie,7,2000,103,10.8,-0.4,0.309090909,0.018902177,3.0652569063703616-0.5757456545525121i
August,8,2000,104,10.4,-0.4,0.312121212,0.02768394,2.376710062898094-3.900833797369489i
septembrie,9,2000,105,10.2,-0.2,0.315151515,0.014773526,1.7552395024019902-1.6915032396176837i
octombrie,10,2000,106,10.1,-0.1,0.318181818,0.018866175,3.062904783907097+0.5557685188803838i
noiembrie,11,2000,107,10.3,0.2,0.321212121,0.009786249,-0.12398754587921239-1.6099639004865518i
decembrie,12,2000,108,10.5,0.2,0.324242424,0.009347225,-0.06700460126570429-1.5408359322063268i
ianuarie,1,2001,109,10.7,0.2,0.327272727,0.025168987,3.776246182272435-1.7281206708310468i
februarie,2,2001,110,10.7,0,0.33030303,0.032849745,4.300536155002109-3.299097209992341i
martie,3,2001,111,10.3,-0.4,0.333333333,0.006748805,-1.1000000000000132+0.1732050807568854i
aprilie,4,2001,112,9.8,-0.5,0.336363636,0.020359446,-0.5980864347350001-3.3056386450172286i
mai,5,2001,113,9.2,-0.6,0.339393939,0.024059025,-0.23821246058326814-3.962585458947328i
iunie,6,2001,114,8.7,-0.5,0.342424242,0.017938963,2.9552537767114027+0.16629449151925235i
iulie,7,2001,115,8.3,-0.4,0.345454546,0.021955867,3.561289110727695+0.6643085033754051i
August,8,2001,116,8,-0.3,0.348484849,0.025768286,-3.5758297173702713-2.3002099803774207i
septembrie,9,2001,117,7.8,-0.2,0.351515152,0.016732906,0.4444707053233776-2.7249178062145147i
octombrie,10,2001,118,7.7,-0.1,0.354545455,0.026680644,2.4356662292499642-3.66712840218565i
noiembrie,11,2001,119,8,0.3,0.357575758,0.007043721,-1.03911686086119+0.5205549311630653i
decembrie,12,2001,120,8.8,0.8,0.360606061,0.008284755,0.4598097957456262+1.2873312058238995i
ianuarie,1,2002,121,12.7,3.9,0.363636364,0.023987581,-0.380372999417927-3.939630898314314i
februarie,2,2002,122,13.5,0.8,0.366666667,0.020687439,-2.1432364027117288-2.656694223141818i
martie,3,2002,123,13.4,-0.1,0.36969697,0.016915988,2.5588921452920292+1.1146847836150586i
aprilie,4,2002,124,11.4,-2,0.372727273,0.030226853,0.5227687305494371-4.95995756960832i
mai,5,2002,125,10.5,-0.9,0.375757576,0.014156175,-2.3338010922518686-0.0958584242900552i
iunie,6,2002,126,9.9,-0.6,0.378787879,0.017980492,0.4809123960639551-2.927544058328364i
iulie,7,2002,127,9.2,-0.7,0.381818182,0.035264453,-3.011618718092355-4.978620556654004i
August,8,2002,128,8.7,-0.5,0.384848485,0.022322959,0.8136018742746565+3.592306284441994i
septembrie,9,2002,129,8.4,-0.3,0.387878788,0.014721867,1.1879568755450174-2.118802573397359i
octombrie,10,2002,130,8.2,-0.2,0.390909091,0.015431378,-2.493413734164578-0.5156615816684901i
noiembrie,11,2002,131,8.1,-0.1,0.393939394,0.002689765,-0.36307902800471603-0.25522939928089367i
decembrie,12,2002,132,8.4,0.3,0.396969697,0.019529033,-1.203307579719699-2.9891815687044776i
ianuarie,1,2003,133,8.6,0.2,0.4,0.027382107,-4.508610463437153+0.29186818477673304i
februarie,2,2003,134,8.8,0.2,0.403030303,0.019406313,1.6095093442822226+2.7681312304034456i
martie,3,2003,135,8.6,-0.2,0.406060606,0.009686121,-1.4293458522060112-0.7150142482222395i
aprilie,4,2003,136,8,-0.6,0.409090909,0.00514701,0.4126594227169928-0.7422595107773953i
mai,5,2003,137,7.6,-0.4,0.412121212,0.031633947,4.777022427215236+2.1034007035590134i
iunie,6,2003,138,7.3,-0.3,0.415151515,0.031177409,0.9959108547341823-5.046949668462001i
iulie,7,2003,139,7.2,-0.1,0.418181818,0.005619678,-0.9195067372706365-0.1195584546995731i
August,8,2003,140,6.8,-0.4,0.421212121,0.036537833,-1.7397916551252792-5.772249252597972i
septembrie,9,2003,141,6.7,-0.1,0.424242424,0.033725615,-5.518457942977005-0.71610245201771i
octombrie,10,2003,142,7,0.3,0.427272727,0.020241241,0.58806229392214+3.287625066846563i
noiembrie,11,2003,143,7.2,0.2,0.43030303,0.039358436,4.631958897399334-4.551794857275396i
decembrie,12,2003,144,7.4,0.2,0.433333333,0.033262908,-5.225295369189251+1.6788691453761988i
ianuarie,1,2004,145,7.7,0.3,0.436363636,0.015566706,-0.4592972939307619+2.527107381294751i
februarie,2,2004,146,7.8,0.1,0.439393939,0.036524765,0.6674706665270969-5.98950952615874i
martie,3,2004,147,7.8,0,0.442424242,0.031569317,-4.588675644411415+2.4651740838782934i
aprilie,4,2004,148,7.4,-0.4,0.445454546,0.016132767,2.060553080618349+1.6851905461171315i
mai,5,2004,149,6.9,-0.5,0.448484849,0.022613849,-2.5890347438561543-2.6868917566599477i
iunie,6,2004,150,6.6,-0.3,0.451515152,0.019138,-0.5966147119789993+3.100897083264308i
iulie,7,2004,151,6.3,-0.3,0.454545455,0.021327632,2.8007205354385594-2.130667108274788i
August,8,2004,152,6.2,-0.1,0.457575758,0.030156168,-4.522876532828692-2.074090793436305i
septembrie,9,2004,153,6.1,-0.1,0.460606061,0.029383068,1.1442896789136376+4.711231787437793i
octombrie,10,2004,154,6.1,0,0.463636364,0.010510113,0.3347386026061653-1.7015554865352347i
noiembrie,11,2004,155,6.2,0.1,0.466666667,0.031246752,-5.041524744101039+1.0790808813963748i
decembrie,12,2004,156,6.3,0.1,0.46969697,0.022237044,2.749698042861163+2.429309616267178i
ianuarie,1,2005,157,6.4,0.1,0.472727273,0.015598994,-0.07015905401517464-2.5728776084202156i
februarie,2,2005,158,6.4,0,0.475757576,0.030965655,-4.272853246553075+2.8014300456812316i
martie,3,2005,159,6.1,-0.3,0.478787879,0.022460282,3.601443718959531+0.8738662647526123i
aprilie,4,2005,160,5.8,-0.3,0.481818182,0.007567741,1.175099740906553-0.4222980953016995i
mai,5,2005,161,5.6,-0.2,0.484848485,0.021771747,-1.8625584267474873+3.071769883115853i
iunie,6,2005,162,5.6,0,0.487878788,0.035373963,4.856795730023766-3.2370739699612883i
iulie,7,2005,163,5.6,0,0.490909091,0.035973666,-4.718318201182942-3.6013153519747365i
August,8,2005,164,5.7,0.1,0.493939394,0.033566017,0.7641035572562924+5.485429867692712i
septembrie,9,2005,165,5.6,-0.1,0.496969697,0.01311847,1.935785319071462-0.96850476435736i
octombrie,10,2005,166,5.7,0.1,0.5,0.004242424,-0.7
noiembrie,11,2005,167,5.7,0,0.503030303,0.01311847,1.9357853190714602+0.9685047643573553i
decembrie,12,2005,168,5.9,0.2,0.506060606,0.033566017,0.7641035572562999-5.485429867692715i
ianuarie,1,2006,169,6.1,0.2,0.509090909,0.035973666,-4.718318201182946+3.601315351974737i
februarie,2,2006,170,6.2,0.1,0.512121212,0.035373963,4.856795730023761+3.2370739699612923i
martie,3,2006,171,6.1,-0.1,0.515151515,0.021771747,-1.8625584267474757-3.0717698831158646i
aprilie,4,2006,172,5.8,-0.3,0.518181818,0.007567741,1.1750997409065524+0.4222980953017i
mai,5,2006,173,5.4,-0.4,0.521212121,0.022460282,3.6014437189595263-0.8738662647526065i
iunie,6,2006,174,5.2,-0.2,0.524242424,0.030965655,-4.272853246553072-2.8014300456812373i
iulie,7,2006,175,5,-0.2,0.527272727,0.015598994,-0.07015905401518308+2.5728776084202227i
August,8,2006,176,5,0,0.53030303,0.022237044,2.7496980428611635-2.4293096162671826i
septembrie,9,2006,177,4.9,-0.1,0.533333333,0.031246752,-5.041524744101035-1.079080881396374i
octombrie,10,2006,178,5.1,0.2,0.536363636,0.010510113,0.33473860260615773+1.7015554865352351i
noiembrie,11,2006,179,5.1,0,0.539393939,0.029383068,1.1442896789136439-4.711231787437793i
decembrie,12,2006,180,5.2,0.1,0.542424242,0.030156168,-4.522876532828694+2.0740907934363007i
ianuarie,1,2007,181,5.3,0.1,0.545454546,0.021327632,2.8007205354385607+2.1306671082747872i
februarie,2,2007,182,5.1,-0.2,0.548484849,0.019138,-0.5966147119789864-3.1008970832643055i
martie,3,2007,183,4.8,-0.3,0.551515152,0.022613849,-2.589034743856157+2.686891756659946i
aprilie,4,2007,184,4.5,-0.3,0.554545455,0.016132767,2.0605530806183516-1.6851905461171297i
mai,5,2007,185,4.1,-0.4,0.557575758,0.031569317,-4.58867564441141-2.4651740838783045i
iunie,6,2007,186,4,-0.1,0.560606061,0.036524765,0.6674706665270884+5.989509526158738i
iulie,7,2007,187,3.8,-0.2,0.563636364,0.015566706,-0.4592972939307566-2.5271073812947527i
August,8,2007,188,3.9,0.1,0.566666667,0.033262908,-5.225295369189247-1.678869145376197i
septembrie,9,2007,189,3.9,0,0.56969697,0.039358436,4.6319588973993335+4.551794857275405i
octombrie,10,2007,190,4.1,0.2,0.572727273,0.020241241,0.5880622939221409-3.2876250668465516i
noiembrie,11,2007,191,4.2,0.1,0.575757576,0.033725615,-5.518457942977004+0.7161024520177066i
decembrie,12,2007,192,4,-0.2,0.578787879,0.036537833,-1.739791655125284+5.772249252597969i
ianuarie,1,2008,193,4.2,0.2,0.581818182,0.005619678,-0.9195067372706345+0.11955845469957554i
februarie,2,2008,194,4.2,0,0.584848485,0.031177409,0.9959108547341744+5.046949668462i
martie,3,2008,195,4.1,-0.1,0.587878788,0.031633947,4.777022427215233-2.1034007035590028i
aprilie,4,2008,196,3.9,-0.2,0.590909091,0.00514701,0.41265942271699474+0.7422595107774012i
mai,5,2008,197,3.7,-0.2,0.593939394,0.009686121,-1.4293458522060076+0.715014248222241i
iunie,6,2008,198,3.7,0,0.596969697,0.019406313,1.6095093442822233-2.768131230403438i
iulie,7,2008,199,3.7,0,0.6,0.027382107,-4.5086104634371535-0.2918681847767406i
August,8,2008,200,3.8,0.1,0.603030303,0.019529033,-1.2033075797197046+2.9891815687044763i
septembrie,9,2008,201,3.9,0.1,0.606060606,0.002689765,-0.3630790280047149+0.25522939928090116i
octombrie,10,2008,202,4,0.1,0.609090909,0.015431378,-2.49341373416458+0.5156615816684932i
noiembrie,11,2008,203,4.1,0.1,0.612121212,0.014721867,1.1879568755450136+2.1188025733973586i
decembrie,12,2008,204,4.4,0.3,0.615151515,0.022322959,0.8136018742746611-3.5923062844419933i
ianuarie,1,2009,205,4.9,0.5,0.618181818,0.035264453,-3.0116187180923593+4.978620556653997i
februarie,2,2009,206,5.2,0.3,0.621212121,0.017980492,0.48091239606395675+2.927544058328366i
martie,3,2009,207,5.6,0.4,0.624242424,0.014156175,-2.3338010922518664+0.09585842429006153i
aprilie,4,2009,208,5.7,0.1,0.627272727,0.030226853,0.5227687305494337+4.9599575696083225i
mai,5,2009,209,5.8,0.1,0.63030303,0.016915988,2.5588921452920346-1.1146847836150608i
iunie,6,2009,210,6,0.2,0.633333333,0.020687439,-2.143236402711726+2.6566942231418165i
iulie,7,2009,211,6.3,0.3,0.636363636,0.023987581,-0.38037299941793257+3.939630898314312i
August,8,2009,212,6.6,0.3,0.639393939,0.008284755,0.4598097957456256-1.2873312058239008i
septembrie,9,2009,213,6.8,0.2,0.642424242,0.007043721,-1.0391168608611898-0.5205549311630702i
octombrie,10,2009,214,7.1,0.3,0.645454546,0.026680644,2.4356662292499567+3.6671284021856536i
noiembrie,11,2009,215,7.5,0.4,0.648484849,0.016732906,0.44447070532337474+2.7249178062145205i
decembrie,12,2009,216,7.8,0.3,0.651515152,0.025768286,-3.5758297173702744+2.300209980377417i
ianuarie,1,2010,217,8.1,0.3,0.654545455,0.021955867,3.561289110727687-0.6643085033754021i
februarie,2,2010,218,8.4,0.3,0.657575758,0.017938963,2.955253776711409-0.1662944915192528i
martie,3,2010,219,8.4,0,0.660606061,0.024059025,-0.23821246058327306+3.9625854589473235i
aprilie,4,2010,220,8.1,-0.3,0.663636364,0.020359446,-0.5980864347350033+3.3056386450172255i
mai,5,2010,221,7.7,-0.4,0.666666667,0.006748805,-1.100000000000003-0.17320508075688607i
iunie,6,2010,222,7.5,-0.2,0.66969697,0.032849745,4.300536155002094+3.299097209992342i
iulie,7,2010,223,7.5,0,0.672727273,0.025168987,3.7762461822724362+1.728120670831055i
August,8,2010,224,7.4,-0.1,0.675757576,0.009347225,-0.06700460126570318+1.5408359322063225i
septembrie,9,2010,225,7.3,-0.1,0.678787879,0.009786249,-0.12398754587921354+1.6099639004865491i
octombrie,10,2010,226,7.1,-0.2,0.681818182,0.018866175,3.062904783907098-0.5557685188803814i
noiembrie,11,2010,227,6.9,-0.2,0.684848485,0.014773526,1.755239502401984+1.6915032396176741i
decembrie,12,2010,228,7,0.1,0.687878788,0.02768394,2.3767100628980904+3.900833797369492i
ianuarie,1,2011,229,6.8,-0.2,0.690909091,0.018902177,3.065256906370364+0.5757456545525135i
februarie,2,2011,230,6.7,-0.1,0.693939394,0.021736472,-0.24154866329462543-3.578374520505734i
martie,3,2011,231,6,-0.7,0.696969697,0.011120829,1.8276733206152391+0.16310471035956164i
aprilie,4,2011,232,5.5,-0.5,0.7,0.014929027,1.6718847050625443-1.8090318223302995i
mai,5,2011,233,5,-0.5,0.703030303,0.015369597,-1.4063826419736578+2.110284386964971i
iunie,6,2011,234,4.8,-0.2,0.706060606,0.001942311,-0.29993936533124227+0.11289201507479803i
iulie,7,2011,235,4.8,0,0.709090909,0.024532678,-1.3548529083595813-3.814420326687207i
August,8,2011,236,4.9,0.1,0.712121212,0.022446618,-0.6421896308966539+3.6475919378421975i
septembrie,9,2011,237,4.9,0,0.715151515,0.022803733,3.7500310516607187-0.30748409980714064i
octombrie,10,2011,238,4.9,0,0.718181818,0.011363595,-1.4937095141136831-1.1333274689228594i
noiembrie,11,2011,239,5.1,0.2,0.721212121,0.026492447,-1.8681862538874998+3.9519286010527495i
decembrie,12,2011,240,5.2,0.1,0.724242424,0.018085127,1.8784868671141148-2.3185809283429064i
ianuarie,1,2012,241,5.4,0.2,0.727272727,0.00644643,-0.7400969362096832+0.7639575944336683i
februarie,2,2012,242,5.4,0,0.73030303,0.025874022,1.1321315409176085+4.116365338645756i
martie,3,2012,243,5.1,-0.3,0.733333333,0.001511072,0.24442624125959972-0.049190757396961896i
aprilie,4,2012,244,4.8,-0.3,0.736363636,0.015467032,-2.179245237526464+1.328119603564322i
mai,5,2012,245,4.6,-0.2,0.739393939,0.023381745,3.6396650304222615+1.2794173578499723i
iunie,6,2012,246,4.6,0,0.742424242,0.013075802,2.1486932623729347-0.19482139172110102i
iulie,7,2012,247,4.9,0.3,0.745454546,0.032988944,-1.2938426359691713+5.287166882274563i
August,8,2012,248,5,0.1,0.748484849,0.027316345,4.2528564415099535+1.492660776396686i
septembrie,9,2012,249,5,0,0.751515152,0.058670519,-1.4460489202104907-9.572024201274276i
octombrie,10,2012,250,5.2,0.2,0.754545455,0.017393374,0.11767513033161314+2.86749313376147i
noiembrie,11,2012,251,5.4,0.2,0.757575758,0.03007387,4.921396844875382-0.6349547798230144i
decembrie,12,2012,252,5.4,0,0.760606061,0.022834054,-3.726682345279597+0.5538876019499862i
ianuarie,1,2013,253,5.7,0.3,0.763636364,0.037166976,1.9113820038379568+5.827074759303661i
februarie,2,2013,254,5.6,-0.1,0.766666667,0.045417493,3.2430781080021114-6.755795808140774i
martie,3,2013,255,5.4,-0.2,0.76969697,0.011369964,-1.8283518457062329+0.4203224889509979i
aprilie,4,2013,256,5.2,-0.2,0.772727273,0.025900816,3.9136952990411844+1.716665845818784i
mai,5,2013,257,4.9,-0.3,0.775757576,0.028900426,-2.01012139684793-4.324196425082558i
iunie,6,2013,258,4.8,-0.1,0.778787879,0.026800647,-1.7378702519446105+4.066304915856472i
iulie,7,2013,259,5.2,0.4,0.781818182,0.034529842,5.6592919940956765-0.6580685979878949i
August,8,2013,260,4.9,-0.3,0.784848485,0.024344602,-1.274843801204457-3.80919055518116i
septembrie,9,2013,261,4.7,-0.2,0.787878788,0.008165476,-0.16267170795041158+1.337447075424596i
octombrie,10,2013,262,5.4,0.7,0.790909091,0.011753673,0.7295258587735778-1.796912360407571i
noiembrie,11,2013,263,5.6,0.2,0.793939394,0.037186547,-5.570389513575975-2.572656364711352i
decembrie,12,2013,264,5.7,0.1,0.796969697,0.034271456,2.3625852563395098+5.137591253234719i
ianuarie,1,2014,265,5.9,0.2,0.8,0.025775213,2.758610463437161-3.236867770347616i
februarie,2,2014,266,5.8,-0.1,0.803030303,0.041636907,-6.435804499217261+2.4038618636319695i
martie,3,2014,267,5.6,-0.2,0.806060606,0.05623669,3.794311000644634+8.467824149369317i
aprilie,4,2014,268,5.1,-0.5,0.809090909,0.030891032,2.192965454924431-4.601143151276022i
mai,5,2014,269,4.9,-0.2,0.812121212,0.027672957,-3.7503098082952437+2.6045879697933034i
iunie,6,2014,270,4.9,0,0.815151515,0.035052936,5.747064379374221+0.6502584101530249i
iulie,7,2014,271,5.1,0.2,0.818181818,0.023113119,-2.4943576878617084-2.8848253624837996i
August,8,2014,272,5.1,0,0.821212121,0.032180082,-3.478005575626893+4.0120486876547625i
septembrie,9,2014,273,5.1,0,0.824242424,0.040506108,6.682329369260664+0.1255012836815208i
octombrie,10,2014,274,5.1,0,0.827272727,0.036125506,-2.8784451987978534+5.219635968746418i
noiembrie,11,2014,275,5.2,0.1,0.83030303,0.041085572,3.929699419539406+5.5239408114815465i
decembrie,12,2014,276,5.4,0.2,0.833333333,0.140668743,10.99999999999999-20.438199529312747i
ianuarie,1,2015,277,5.5,0.1,0.836363636,0.042529442,-6.9365600977363755+1.0618132437564265i
februarie,2,2015,278,5.6,0.1,0.839393939,0.057118401,6.898860630494002+6.42087262499438i
martie,3,2015,279,5.5,-0.1,0.842424242,0.03641661,2.1742423177592944-5.601574328733044i
